Source,Target,Type,Id,Label,Weight
n0,n1,Undirected,75691,,99.0
n0,n2,Undirected,75692,,3.0
n0,n3,Undirected,75693,,2.0
n0,n4,Undirected,75694,,2.0
n0,n5,Undirected,75695,,2.0
n0,n6,Undirected,75696,,2.0
n0,n7,Undirected,75697,,2.0
n0,n8,Undirected,75720,,6.0
n0,n9,Undirected,75726,,11.0
n0,n10,Undirected,75732,,4.0
n0,n11,Undirected,75733,,17.0
n0,n12,Undirected,75734,,3.0
n0,n13,Undirected,75735,,4.0
n0,n14,Undirected,78334,,4.0
n0,n17,Undirected,75879,,9.0
n0,n18,Undirected,77901,,8.0
n0,n21,Undirected,75760,,2.0
n0,n22,Undirected,75766,,23.0
n0,n23,Undirected,75771,,2.0
n0,n24,Undirected,75775,,5.0
n0,n25,Undirected,75778,,9.0
n0,n26,Undirected,75780,,13.0
n0,n31,Undirected,83327,,2.0
n0,n32,Undirected,76041,,8.0
n0,n33,Undirected,81058,,4.0
n0,n35,Undirected,75804,,9.0
n0,n40,Undirected,75963,,2.0
n0,n42,Undirected,75912,,4.0
n0,n44,Undirected,78829,,2.0
n0,n47,Undirected,75837,,2.0
n0,n48,Undirected,75839,,7.0
n0,n49,Undirected,77749,,11.0
n0,n50,Undirected,76634,,3.0
n0,n52,Undirected,80083,,3.0
n0,n55,Undirected,82200,,4.0
n0,n57,Undirected,76348,,4.0
n0,n58,Undirected,81481,,3.0
n0,n62,Undirected,78861,,2.0
n0,n63,Undirected,85022,,4.0
n0,n64,Undirected,75883,,7.0
n0,n65,Undirected,75887,,8.0
n0,n67,Undirected,85198,,2.0
n0,n70,Undirected,75916,,5.0
n0,n74,Undirected,76057,,2.0
n0,n75,Undirected,75915,,3.0
n0,n79,Undirected,82679,,2.0
n0,n80,Undirected,76735,,2.0
n0,n81,Undirected,75967,,4.0
n0,n82,Undirected,76387,,8.0
n0,n83,Undirected,75955,,2.0
n0,n84,Undirected,75964,,4.0
n0,n85,Undirected,75965,,2.0
n0,n86,Undirected,75966,,4.0
n0,n87,Undirected,76263,,7.0
n0,n88,Undirected,79082,,9.0
n0,n90,Undirected,82371,,2.0
n0,n91,Undirected,81502,,2.0
n0,n92,Undirected,76093,,3.0
n0,n94,Undirected,76006,,2.0
n0,n95,Undirected,76011,,2.0
n0,n96,Undirected,76016,,4.0
n0,n97,Undirected,76017,,2.0
n0,n98,Undirected,76018,,2.0
n0,n103,Undirected,77505,,2.0
n0,n105,Undirected,76049,,4.0
n0,n106,Undirected,76058,,4.0
n0,n107,Undirected,76059,,3.0
n0,n108,Undirected,76060,,2.0
n0,n109,Undirected,76061,,3.0
n0,n110,Undirected,76062,,2.0
n0,n112,Undirected,76092,,8.0
n0,n113,Undirected,76094,,6.0
n0,n114,Undirected,84358,,3.0
n0,n116,Undirected,79185,,5.0
n0,n117,Undirected,78255,,3.0
n0,n119,Undirected,81027,,2.0
n0,n122,Undirected,83950,,4.0
n0,n126,Undirected,84453,,3.0
n0,n130,Undirected,80924,,2.0
n0,n133,Undirected,78221,,4.0
n0,n136,Undirected,76420,,2.0
n0,n137,Undirected,79063,,5.0
n0,n138,Undirected,78200,,2.0
n0,n140,Undirected,85521,,2.0
n0,n144,Undirected,76270,,2.0
n0,n145,Undirected,76271,,2.0
n0,n146,Undirected,76272,,3.0
n0,n147,Undirected,76273,,6.0
n0,n148,Undirected,78338,,3.0
n0,n149,Undirected,84350,,2.0
n0,n151,Undirected,76745,,4.0
n0,n155,Undirected,79249,,2.0
n0,n157,Undirected,76347,,3.0
n0,n159,Undirected,78198,,4.0
n0,n160,Undirected,82211,,3.0
n0,n163,Undirected,76380,,2.0
n0,n164,Undirected,76393,,2.0
n0,n165,Undirected,76398,,6.0
n0,n166,Undirected,76403,,2.0
n0,n167,Undirected,76404,,2.0
n0,n168,Undirected,76405,,2.0
n0,n169,Undirected,82471,,3.0
n0,n171,Undirected,76424,,3.0
n0,n172,Undirected,76428,,2.0
