Source,Target,Type,Id,Label,Weight
n0,n1,Undirected,57656,,2.0
n0,n2,Undirected,57657,,2.0
n0,n3,Undirected,57658,,2.0
n0,n4,Undirected,57659,,2.0
n0,n5,Undirected,57660,,2.0
n0,n6,Undirected,57661,,2.0
n0,n7,Undirected,57662,,2.0
n0,n8,Undirected,57663,,2.0
n0,n14,Undirected,66007,,2.0
n0,n31,Undirected,72984,,2.0
n0,n37,Undirected,66002,,2.0
n0,n61,Undirected,65046,,3.0
n0,n78,Undirected,65055,,2.0
n0,n79,Undirected,65028,,3.0
n0,n81,Undirected,65041,,5.0
n0,n91,Undirected,66024,,2.0
n0,n102,Undirected,65053,,4.0
n0,n114,Undirected,65052,,4.0
n0,n164,Undirected,66652,,2.0
n0,n203,Undirected,66023,,2.0
n0,n209,Undirected,66012,,2.0
n0,n222,Undirected,72985,,2.0
n0,n235,Undirected,66653,,2.0
n0,n249,Undirected,65024,,3.0
n0,n313,Undirected,65051,,3.0
n0,n322,Undirected,66863,,2.0
n0,n362,Undirected,66884,,2.0
n0,n406,Undirected,66869,,2.0
n0,n596,Undirected,65054,,2.0
n0,n674,Undirected,66651,,2.0
n0,n679,Undirected,66882,,2.0
n0,n680,Undirected,66883,,2.0
n0,n789,Undirected,66650,,2.0
n0,n1091,Undirected,65035,,3.0
n0,n1193,Undirected,66017,,2.0
n0,n1194,Undirected,66022,,2.0
n0,n1195,Undirected,66025,,2.0
n0,n1282,Undirected,66839,,2.0
n0,n1283,Undirected,66848,,2.0
n0,n1284,Undirected,66856,,2.0
n0,n1285,Undirected,66874,,2.0
n0,n1286,Undirected,66878,,2.0
n1,n2,Undirected,57664,,2.0
n1,n3,Undirected,57665,,2.0
n1,n4,Undirected,57666,,2.0
n1,n5,Undirected,57667,,2.0
n1,n6,Undirected,57668,,2.0
n1,n7,Undirected,57669,,2.0
n1,n8,Undirected,57670,,2.0
n1,n34,Undirected,66403,,2.0
n1,n120,Undirected,66399,,2.0
n1,n431,Undirected,66401,,2.0
n1,n761,Undirected,66400,,2.0
n1,n967,Undirected,66398,,2.0
n1,n1230,Undirected,66402,,2.0
n1,n1231,Undirected,66404,,2.0
n1,n1232,Undirected,66405,,2.0
n2,n3,Undirected,57671,,2.0
n2,n4,Undirected,57672,,2.0
n2,n5,Undirected,57673,,2.0
n2,n6,Undirected,57674,,2.0
n2,n7,Undirected,57675,,2.0
n2,n8,Undirected,57676,,2.0
n3,n4,Undirected,57677,,2.0
n3,n5,Undirected,57678,,2.0
n3,n6,Undirected,57679,,2.0
n3,n7,Undirected,57680,,2.0
n3,n8,Undirected,57681,,2.0
n4,n5,Undirected,57682,,2.0
n4,n6,Undirected,57683,,2.0
n4,n7,Undirected,57684,,4.0
n4,n8,Undirected,57685,,6.0
n4,n9,Undirected,62246,,6.0
n4,n13,Undirected,74794,,4.0
n4,n14,Undirected,61947,,20.0
n4,n15,Undirected,70749,,3.0
n4,n20,Undirected,64278,,2.0
