Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n0,n0,Also,42,96.0,4.0,0.4155844155844156,0.0013159698792146641,0.0011291127,0.0011291127,4,8.648923786993284E-4,0,0.2845528455284553,245,0.12709706314823013
n1,n1,wonder,16,32.0,5.0,0.355237242614145,9.641098598478013E-5,4.4639342E-4,4.4639342E-4,2,3.712370737612162E-4,0,0.48333333333333334,58,0.02981365306192527
n2,n2,composer,8,16.0,5.0,0.33885567890691715,0.0,2.3632593E-4,2.3632593E-4,2,2.1680832889698381E-4,0,1.0,28,0.016122762843134616
n3,n3,soundtrack,8,16.0,5.0,0.33885567890691715,0.0,2.3632593E-4,2.3632593E-4,2,2.1680832889698381E-4,0,1.0,28,0.016122762843134616
n4,n4,ever,154,524.0,4.0,0.48675171736997064,0.008589615288206724,0.0040700575,0.0040700575,4,0.003982641454845615,0,0.1584755114166879,1867,0.4558718042847851
n5,n5,Inception,16,32.0,5.0,0.35403283369022126,9.69996697008946E-5,4.4639342E-4,4.4639342E-4,2,3.736174040834182E-4,0,0.5,60,0.03302437361704403
n6,n6,Completely,8,16.0,5.0,0.33885567890691715,0.0,2.3632593E-4,2.3632593E-4,2,2.1680832889698381E-4,0,1.0,28,0.016122762843134616
n7,n7,final,58,132.0,4.0,0.43083604777415846,0.004240304720101863,0.0015492477,0.0015492477,2,0.001169756392997503,0,0.26678765880217786,441,0.1931636784987176
n8,n8,scene,88,233.0,4.0,0.46290247316845545,0.0037573807695063396,0.0023370008,0.0023370008,4,0.001832976272601783,0,0.2601880877742947,996,0.31718312904212304
n9,n9,Just,250,1165.0,4.0,0.5071574642126789,0.025257716948736356,0.0065908674,0.0065908674,6,0.007947972520147204,0,0.11241767068273092,3499,0.6404977808178326
n10,n10,sticker,3,369.0,5.0,0.34218696102104174,0.0,1.05033745E-4,1.05033745E-4,6,0.0019684360436833157,0,1.0,3,0.011721635926398428
n11,n11,Check,36,545.0,4.0,0.41523650062787776,0.0028377183095995395,9.715621E-4,9.715621E-4,6,0.0031841024576010095,0,0.2365079365079365,149,0.09519274950884275
n12,n12,other,46,614.0,4.0,0.4285097192224622,0.0015769994391407376,0.0012341464,0.0012341464,6,0.0033462745458827546,0,0.2792270531400966,289,0.1471444253775673
n13,n13,incredible,164,461.0,4.0,0.4904820766378245,0.014407872493087946,0.004332642,0.004332642,2,0.0037051721736949383,0,0.16093071973664522,2151,0.4881570736843158
n14,n14,film,487,1794.0,3.0,0.5565217391304348,0.09585929569141463,0.012814117,0.012814117,4,0.014315029391285,0,0.05528937561791771,6543,0.9342823620967938
n15,n15,absolutely,88,229.0,4.0,0.46737338044758536,0.0031312993148212495,0.0023370008,0.0023370008,2,0.001804071871194643,0,0.2473876698014629,947,0.31052773295375324
n16,n16,breathtaking,13,27.0,4.0,0.37826501429933274,8.327608081377913E-6,3.676181E-4,3.676181E-4,4,2.6772496078424757E-4,0,0.6538461538461539,51,0.05724453283338907
n17,n17,Not,69,164.0,4.0,0.4472497745716862,0.005115360994352593,0.0018380905,0.0018380905,2,0.0013956390488568306,0,0.21568627450980393,506,0.20162634892180006
n18,n18,dry,26,52.0,4.0,0.4004036326942482,0.0011762714259066142,7.0897775E-4,7.0897775E-4,2,5.262168399500008E-4,0,0.4246153846153846,138,0.08788134151536209
n19,n19,eye,21,42.0,4.0,0.39735629881834567,1.7042848961653812E-4,5.776856E-4,5.776856E-4,2,3.9369969153069595E-4,0,0.5428571428571428,114,0.08655880162569922
n20,n20,theater,40,87.0,4.0,0.4371006829698172,4.441123486132797E-4,0.0010765959,0.0010765959,4,7.165439815645742E-4,0,0.39615384615384613,309,0.17886998589405256
n21,n21,unexpectedly,12,24.0,5.0,0.37826501429933274,0.0,3.4135967E-4,3.4135967E-4,2,2.447904269747531E-4,0,1.0,66,0.05557014411647609
n22,n22,moving,59,134.0,4.0,0.4468468468468469,0.0018245927555949144,0.0015755062,0.0015755062,4,0.0010856287554190601,0,0.2863822326125073,490,0.21152706202889493
n23,n23,powerful,53,119.0,4.0,0.44998865955999096,0.0021727252125756545,0.0014179555,0.0014179555,2,0.0010461259563656182,0,0.30914368650217705,426,0.20693633781808013
n24,n24,performance,192,3420.0,4.0,0.49488650536293344,0.017087483524008597,0.005067878,0.005067878,1,0.013306691730750685,0,0.13645287958115182,2502,0.5262160586693141
n25,n25,Tom,502,1987.0,4.0,0.5557422969187675,0.07673364885573299,0.0132079935,0.0132079935,12,0.01566276238778905,0,0.05220634428354447,6565,0.9682938093943322
n26,n26,Hanks,492,1943.0,4.0,0.5541899441340782,0.07294768592705769,0.012945409,0.012945409,12,0.015251456513463709,0,0.05294487771761628,6395,0.954516844801887
n27,n27,I,157,375.0,4.0,0.489634748272458,0.014098759318662073,0.004148833,0.004148833,4,0.003149410987322197,0,0.150171484566389,1839,0.4386381328283698
n28,n28,give,73,169.0,4.0,0.44937712344280867,0.003504844773842809,0.0019431242,0.0019431242,12,0.0014686744483651596,0,0.21270928462709285,559,0.22766206252300164
n29,n29,solid,19,38.0,4.0,0.39983877468762596,1.237518244053837E-4,5.251687E-4,5.251687E-4,2,3.926849862240833E-4,0,0.5789473684210527,99,0.08261780184599965
n30,n30,Other,5,10.0,4.0,0.36531025593813293,0.0,1.5755062E-4,1.5755062E-4,2,1.7986700003338923E-4,0,1.0,10,0.02266924063139845
n31,n31,great,240,751.0,4.0,0.510025706940874,0.02135109907227231,0.006328283,0.006328283,4,0.00578405976502353,0,0.11659693165969316,3344,0.6208114689154315
n32,n32,Shandy,5,10.0,4.0,0.36531025593813293,0.0,1.5755062E-4,1.5755062E-4,2,1.7986700003338923E-4,0,1.0,10,0.022669240631398448
n33,n33,Scale,5,10.0,4.0,0.36531025593813293,0.0,1.5755062E-4,1.5755062E-4,2,1.7986700003338923E-4,0,1.0,10,0.022669240631398448
n34,n34,are,217,616.0,4.0,0.5003783102143757,0.030965869711693992,0.005724339,0.005724339,12,0.005325386592703257,0,0.10223587642942482,2396,0.5119187173094154
n35,n35,intense,216,542.0,4.0,0.5012632642748863,0.022362619504188514,0.0056980806,0.0056980806,4,0.004433704674077886,0,0.11881998277347114,2759,0.5513715585778092
n36,n36,stressful,27,56.0,4.0,0.4212314225053079,1.967674711389892E-4,7.352362E-4,7.352362E-4,4,4.8145266071362113E-4,0,0.5270655270655271,185,0.12605886860132165
n37,n37,brilliant,132,358.0,4.0,0.47669389716482463,0.008138298190941478,0.0034923719,0.0034923719,12,0.0028908137780912255,0,0.17464723571593802,1510,0.4007884405850419
n38,n38,such,84,267.0,4.0,0.4554637281910009,0.001725888875826005,0.002231967,0.002231967,4,0.001979798530079211,0,0.2607573149741824,909,0.3040303613100867
n39,n39,believable,17,34.0,5.0,0.36856771317109416,1.412308660729288E-4,4.7265185E-4,4.7265185E-4,2,3.5681580830526833E-4,0,0.36764705882352944,50,0.0499520970134569
n40,n40,actor,173,534.0,4.0,0.49011857707509876,0.008303142622953558,0.004568968,0.004568968,12,0.0040578595123708025,0,0.1585562575615002,2359,0.5183163409809943
n41,n41,Highly,46,104.0,4.0,0.4357566439710081,0.0010540527171744917,0.0012341464,0.0012341464,4,8.667896698610389E-4,0,0.3642512077294686,377,0.19187778005799644
n42,n42,recommend,96,279.0,4.0,0.46903073286052016,0.0037252492863485338,0.0025470683,0.0025470683,4,0.0021140249907766312,0,0.26644736842105265,1215,0.3557265336518543
n43,n43,The,62,152.0,4.0,0.44604316546762596,0.004836570086091809,0.0016542814,0.0016542814,2,0.001304348363748794,0,0.2527763088313062,478,0.20684729652816025
n44,n44,RealLife,9,129.0,5.0,0.34648969612294794,7.658114113186571E-4,2.6258436E-4,2.6258436E-4,3,6.389706600079269E-4,0,0.4444444444444444,16,0.01807110287406489
n45,n45,Know,4,8.0,5.0,0.3460062783397279,0.0,1.3129218E-4,1.3129218E-4,3,1.2281469456175819E-4,0,1.0,6,0.01667796747332458
n46,n46,Conducted,5,121.0,5.0,0.2791221159257175,0.0,1.5755062E-4,1.5755062E-4,3,5.769016277818764E-4,0,1.0,10,0.0016324187168931564
n47,n47,Surprisingly,5,121.0,5.0,0.2791221159257175,0.0,1.5755062E-4,1.5755062E-4,3,5.769016277818764E-4,0,1.0,10,0.0016324187168931564
n48,n48,Candid,5,121.0,5.0,0.2791221159257175,0.0,1.5755062E-4,1.5755062E-4,3,5.769016277818763E-4,0,1.0,10,0.0016324187168931564
