Source,Target,Type,Id,Label,Weight
n0,n1,Undirected,1,,20.0
n0,n2,Undirected,2,,6.0
n0,n4,Undirected,3060,,17.0
n0,n7,Undirected,2730,,8.0
n0,n11,Undirected,11231,,3.0
n0,n15,Undirected,6588,,6.0
n0,n16,Undirected,14411,,4.0
n0,n24,Undirected,2777,,7.0
n0,n32,Undirected,3312,,9.0
n0,n33,Undirected,3317,,8.0
n0,n42,Undirected,17747,,2.0
n0,n46,Undirected,17725,,2.0
n0,n57,Undirected,33481,,2.0
n0,n62,Undirected,15615,,2.0
n0,n64,Undirected,3326,,4.0
n0,n72,Undirected,3913,,5.0
n0,n73,Undirected,11238,,3.0
n0,n74,Undirected,14412,,3.0
n0,n83,Undirected,3801,,7.0
n0,n84,Undirected,11236,,2.0
n0,n85,Undirected,2772,,7.0
n0,n93,Undirected,22405,,2.0
n0,n100,Undirected,2749,,6.0
n0,n101,Undirected,2757,,6.0
n0,n106,Undirected,17733,,2.0
n0,n107,Undirected,7573,,6.0
n0,n125,Undirected,2782,,6.0
n0,n126,Undirected,18275,,2.0
n0,n129,Undirected,2791,,8.0
n0,n135,Undirected,2790,,6.0
n0,n147,Undirected,2785,,10.0
n0,n155,Undirected,3915,,5.0
n0,n156,Undirected,3916,,4.0
n0,n164,Undirected,19302,,2.0
n0,n167,Undirected,3061,,4.0
n0,n168,Undirected,3912,,2.0
n0,n174,Undirected,10584,,2.0
n0,n176,Undirected,10573,,2.0
n0,n180,Undirected,22416,,2.0
n0,n185,Undirected,32472,,2.0
n0,n253,Undirected,18261,,2.0
n0,n254,Undirected,13132,,2.0
n0,n255,Undirected,10594,,4.0
n0,n276,Undirected,10595,,3.0
n0,n327,Undirected,6592,,3.0
n0,n328,Undirected,33187,,2.0
n0,n329,Undirected,6593,,2.0
n0,n358,Undirected,19303,,2.0
n0,n362,Undirected,3062,,2.0
n0,n370,Undirected,17753,,2.0
n0,n373,Undirected,10979,,2.0
n0,n400,Undirected,3914,,3.0
n0,n417,Undirected,27943,,2.0
n0,n423,Undirected,13131,,2.0
n0,n458,Undirected,3802,,3.0
n0,n462,Undirected,35042,,2.0
n0,n464,Undirected,33489,,2.0
n0,n472,Undirected,10980,,2.0
n0,n488,Undirected,29975,,11.0
n0,n499,Undirected,13133,,3.0
n0,n514,Undirected,15617,,2.0
n0,n522,Undirected,2719,,6.0
n0,n523,Undirected,2741,,6.0
n0,n524,Undirected,2765,,6.0
n0,n525,Undirected,2789,,6.0
n0,n559,Undirected,33219,,2.0
n0,n597,Undirected,11234,,2.0
n0,n598,Undirected,3321,,2.0
n0,n599,Undirected,3324,,2.0
n0,n600,Undirected,3328,,2.0
n0,n658,Undirected,35043,,2.0
n0,n685,Undirected,15613,,3.0
n0,n876,Undirected,6594,,2.0
n0,n882,Undirected,17748,,2.0
n0,n893,Undirected,14406,,2.0
n0,n901,Undirected,27501,,2.0
n0,n1025,Undirected,6591,,2.0
n0,n1028,Undirected,17754,,2.0
n0,n1029,Undirected,27941,,2.0
n0,n1058,Undirected,22413,,2.0
n0,n1177,Undirected,10579,,2.0
n0,n1243,Undirected,14862,,2.0
n0,n1279,Undirected,35044,,2.0
n0,n1281,Undirected,33487,,2.0
n0,n1288,Undirected,19759,,2.0
n0,n1310,Undirected,27502,,2.0
n0,n1422,Undirected,27488,,2.0
n0,n1425,Undirected,10567,,2.0
n0,n1426,Undirected,10590,,2.0
n0,n1465,Undirected,18267,,3.0
n0,n1472,Undirected,10981,,2.0
n0,n1541,Undirected,22423,,2.0
n0,n1773,Undirected,35045,,2.0
n0,n1781,Undirected,14863,,2.0
n0,n1825,Undirected,33197,,2.0
n0,n1826,Undirected,19300,,2.0
n0,n1833,Undirected,15614,,2.0
n0,n1834,Undirected,15616,,2.0
n0,n2003,Undirected,17752,,2.0
n0,n2005,Undirected,17749,,2.0
n0,n2006,Undirected,17750,,2.0
n0,n2007,Undirected,17751,,2.0
n0,n2044,Undirected,18276,,2.0
n0,n2112,Undirected,19301,,2.0
n0,n2324,Undirected,27940,,2.0
n0,n2483,Undirected,29978,,11.0
n0,n2620,Undirected,27480,,2.0
n0,n2703,Undirected,27942,,2.0
n0,n2850,Undirected,29976,,11.0
n0,n2851,Undirected,29977,,11.0
n0,n3066,Undirected,33204,,2.0
n0,n3067,Undirected,33210,,2.0
n0,n3068,Undirected,33215,,2.0
n0,n3079,Undirected,33491,,2.0
n1,n2,Undirected,3,,7.0
n1,n4,Undirected,7574,,5.0
n1,n10,Undirected,11335,,3.0
n1,n11,Undirected,11232,,5.0
n1,n14,Undirected,2483,,2.0
