Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n0,n0,Movie,119,324.0,4.0,0.4756500206355757,0.011638960743138662,0.002650645,0.002650645,23,0.0028014029130045545,0,0.12419883207520296,872,0.23756736961441952
n1,n1,absolute,17,37.0,5.0,0.3744314489928525,0.0010661926335557542,3.9759674E-4,3.9759674E-4,15,3.52559202367261E-4,0,0.5073529411764706,69,0.04127499846628888
n2,n2,perfection,9,18.0,5.0,0.31123413448555226,0.005114566057212395,2.2088709E-4,2.2088709E-4,26,4.1834597722072224E-4,0,0.5,18,0.0037374859428869456
n3,n3,thank,39,93.0,4.0,0.4336782690498589,0.004291347396728272,8.8354835E-4,8.8354835E-4,4,7.046043140882323E-4,0,0.38866396761133604,288,0.12670786836334752
n4,n4,sir,12,24.0,5.0,0.3692135191414384,8.737991097851318E-4,2.871532E-4,2.871532E-4,4,2.4979988886763714E-4,0,0.6060606060606061,40,0.036851493649521554
n5,n5,quality,24,64.0,4.0,0.4340866290018833,9.395253690968171E-4,5.522177E-4,5.522177E-4,4,5.428805265082388E-4,0,0.5181159420289855,143,0.10021532031347152
n6,n6,film,407,1673.0,4.0,0.5338119499768411,0.050954227819367745,0.009012193,0.009012193,20,0.011140229147660708,0,0.06861451689037897,5669,0.6817832185879088
n7,n7,Just,346,1503.0,4.0,0.5233878292461398,0.03914006798879082,0.007664782,0.007664782,5,0.009761662454403196,0,0.07883052693306526,4705,0.6138170187887727
n8,n8,amazing,305,1031.0,4.0,0.5158907788719785,0.026054726131727,0.006759145,0.006759145,4,0.007230682536565885,0,0.0955565142364107,4430,0.5886641080769618
n9,n9,wan,45,100.0,4.0,0.43172878816257726,5.518296725143815E-4,0.0010160806,0.0010160806,8,7.850424621248206E-4,0,0.301010101010101,298,0.11488627966531406
n10,n10,be,226,579.0,4.0,0.5069276446008357,0.021365302233187118,0.005014137,0.005014137,0,0.004442054134684317,0,0.1135496558505408,2887,0.4572169708333865
n11,n11,Somalia,66,157.0,4.0,0.42138939670932357,0.008831640583351912,0.0014799434,0.0014799434,1,0.0015912555766634333,0,0.12867132867132866,276,0.07716050150678688
n12,n12,pirate,92,200.0,4.0,0.45761365892396266,0.009063233302647761,0.0020542499,0.0020542499,2,0.0017803861230729883,0,0.14620162446249402,612,0.1824786983674996
n13,n13,now,138,443.0,4.0,0.486492190797805,0.013748801592999176,0.0030703305,0.0030703305,7,0.0033792961100924447,0,0.14545646884586905,1375,0.30263956153876626
n14,n14,Brilliant,31,80.0,4.0,0.43581017205520894,5.51501953544621E-4,7.068387E-4,7.068387E-4,0,6.022004482207622E-4,0,0.43010752688172044,200,0.12170908850155444
n15,n15,round,23,60.0,5.0,0.3932775976795769,1.0761596960669209E-4,5.30129E-4,5.30129E-4,19,4.5934081105406465E-4,0,0.5177865612648221,131,0.07192775359983682
n16,n16,especially,28,60.0,5.0,0.39858205083866505,1.5159696161806238E-4,6.405725E-4,6.405725E-4,3,4.6855307125539825E-4,0,0.37566137566137564,142,0.08072758226082735
n17,n17,think,133,373.0,4.0,0.48332983854057454,0.009028203755913131,0.0029598868,0.0029598868,7,0.002812520516791751,0,0.16085668717247664,1412,0.3097522433568249
n18,n18,performance,228,689.0,4.0,0.5020692659551296,0.014821934987167504,0.005058314,0.005058314,3,0.004886869565773182,0,0.12473916067702295,3228,0.48739824194176845
n19,n19,hell,38,94.0,4.0,0.44809486780715396,5.112303537694619E-4,8.6145964E-4,8.6145964E-4,3,6.961724286297462E-4,0,0.4864864864864865,342,0.15740854931238357
n20,n20,wow,47,106.0,4.0,0.442758355743373,0.0012450904585034992,0.001060258,0.001060258,3,8.318635269774341E-4,0,0.26919518963922295,291,0.13469827038783072
n21,n21,Tom,521,2212.0,4.0,0.5513035159052858,0.06442559279565892,0.011530305,0.011530305,3,0.015387733322438854,0,0.05180865200059058,7018,0.8050982162944954
n22,n22,Hanks,541,2273.0,4.0,0.5542197643664343,0.07312144875040427,0.01197208,0.01197208,3,0.01582943881674792,0,0.049270897514890125,7197,0.8146035453660446
n23,n23,Wow,107,298.0,4.0,0.4748660898228265,0.004861894421869336,0.0023855804,0.0023855804,3,0.0021310201773218993,0,0.22518074413683653,1277,0.2943163890698078
n24,n24,other,47,529.0,4.0,0.44601393188854493,0.0020325812804784416,0.001060258,0.001060258,5,0.0028472892166464775,0,0.2599444958371878,281,0.13202114924905137
n25,n25,way,80,186.0,4.0,0.4573412698412699,0.0038131325103044305,0.0017891853,0.0017891853,3,0.0014209456918935527,0,0.2170886075949367,686,0.20375166113520318
n26,n26,put,9,18.0,5.0,0.3800494641384996,0.0,2.2088709E-4,2.2088709E-4,3,1.7024512102533864E-4,0,1.0,36,0.04240979945563004
n27,n27,properly,17,34.0,5.0,0.38429476492164055,1.013592966755456E-4,3.9759674E-4,3.9759674E-4,3,2.9416279634470843E-4,0,0.5441176470588235,74,0.050936401998764425
n28,n28,in,26,421.0,4.0,0.42511988196237555,2.323643602037067E-4,5.963951E-4,5.963951E-4,20,0.0021373744861493396,0,0.4492307692307692,146,0.09532455316213981
n29,n29,Great,137,366.0,4.0,0.4821167119849403,0.005161455836747466,0.0030482418,0.0030482418,4,0.0026389208037570448,0,0.17196221554315158,1602,0.33391261555844004
n30,n30,movie,811,3123.0,4.0,0.5999479437792816,0.19987010044862644,0.01793603,0.01793603,4,0.02389127618724186,0,0.029794035712654703,9786,1.0
n31,n31,always,71,316.0,4.0,0.4654684975767367,0.0023106721060186003,0.001590387,0.001590387,5,0.0019065650569177564,0,0.2869215291750503,713,0.22045431791919962
n32,n32,big,28,226.0,4.0,0.42955646664181885,3.0214781064550554E-4,6.405725E-4,6.405725E-4,5,0.0012836387052800637,0,0.4126984126984127,156,0.09415713601665462
n33,n33,screen,25,222.0,4.0,0.40038214347750567,0.0025962673069587195,5.743064E-4,5.743064E-4,5,0.001329919610951133,0,0.35,105,0.06307222199540183
n34,n34,Check,32,668.0,4.0,0.417270094134685,0.0027862955887851706,7.289274E-4,7.289274E-4,5,0.0035185108544855135,0,0.23588709677419356,117,0.07371538288538489
n35,n35,buzz,19,200.0,4.0,0.4144192736425746,6.600134284157485E-5,4.4177417E-4,4.4177417E-4,5,0.0010921095900831646,0,0.5555555555555556,95,0.07329804778629238
n36,n36,sticker,3,438.0,5.0,0.34614807028082295,0.0,8.8354835E-5,8.8354835E-5,5,0.002191075086315636,0,1.0,3,0.010313182077836575
n37,n37,Absolutely,23,50.0,4.0,0.4240250183958793,4.046990979458207E-5,5.30129E-4,5.30129E-4,4,3.806559678489482E-4,0,0.549407114624506,139,0.09348716946707991
n38,n38,love,127,305.0,4.0,0.4772256728778468,0.00717386355694261,0.0028273547,0.0028273547,4,0.002370379548572372,0,0.1656042994625672,1325,0.29753130207204687
n39,n39,new,67,165.0,4.0,0.46183129633340014,8.174852195632654E-4,0.0015020322,0.0015020322,4,0.0011718673322967269,0,0.32247851650836723,713,0.22201220008748662
n40,n40,see,503,1808.0,4.0,0.553421368547419,0.07171337328796343,0.011132709,0.011132709,8,0.012972527351363823,0,0.05679865032910109,7171,0.7923097514472419
n41,n41,intense,187,485.0,4.0,0.4923109782144383,0.01290641424776526,0.004152677,0.004152677,4,0.003580834146250477,0,0.13202231039043183,2296,0.40205177815755616
n42,n42,I,203,857.0,4.0,0.4969814575247952,0.014709386111605684,0.0045060967,0.0045060967,20,0.005314458201440956,0,0.12822513778471442,2629,0.4233731550807968
n43,n43,literally,7,14.0,5.0,0.35201588271227857,5.334748109962424E-6,1.7670967E-4,1.7670967E-4,4,1.6835173622873581E-4,0,0.8095238095238095,17,0.02121956380880914
n44,n44,edge,84,212.0,4.0,0.4550839091806515,0.0016301532733596757,0.0018775403,0.0018775403,4,0.001489706802668477,0,0.23465289730349972,818,0.2171566901216609
n45,n45,seat,95,232.0,4.0,0.46118447378951577,0.0039393933923754215,0.002120516,0.002120516,4,0.0017016162305300351,0,0.21948488241881298,980,0.2404654118182063
n46,n46,pulse,6,12.0,5.0,0.34682515798976826,0.0,1.5462095E-4,1.5462095E-4,4,1.546821159055533E-4,0,1.0,15,0.016415178342667133
n47,n47,pounding,6,12.0,5.0,0.34682515798976826,0.0,1.5462095E-4,1.5462095E-4,4,1.5468211590555334E-4,0,1.0,15,0.016415178342667137
n48,n48,exceptional,27,63.0,5.0,0.42262559589292265,1.2518321735194684E-4,6.184838E-4,6.184838E-4,3,4.7310006566350356E-4,0,0.49572649572649574,174,0.109090402410113
n49,n49,actor,144,472.0,4.0,0.48917657045840407,0.005673753209851462,0.0032028628,0.0032028628,3,0.0032571929452564117,0,0.19784382284382285,2037,0.38235500267764605
n50,n50,STRESSFUL,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.482842024383151E-5,1,0.0,0,0.0
n51,n51,long,84,257.0,4.0,0.4665047561222425,0.0012368493171126343,0.0018775403,0.0018775403,4,0.0017336184995263837,0,0.27452667814113596,957,0.2561306513331529
n52,n52,time,198,594.0,4.0,0.4970886348932499,0.013756391349300175,0.004395653,0.004395653,4,0.004265674077848432,0,0.14028610982925704,2736,0.4424087472251919
n53,n53,ever,174,496.0,4.0,0.49094781682641114,0.009356465879437056,0.003865524,0.003865524,4,0.003559421841824494,0,0.149225965052156,2246,0.4002745547169592
n54,n54,just,235,708.0,4.0,0.5061484409310496,0.020156804681206092,0.005212935,0.005212935,4,0.005083436384709874,0,0.11202036733951627,3080,0.47823701286806414
n55,n55,win,64,288.0,4.0,0.4510763209393346,0.0015478599064422895,0.001435766,0.001435766,19,0.001880618276070729,0,0.2822420634920635,569,0.18211023099737386
n56,n56,do,181,478.0,4.0,0.4951664876476906,0.01254217236471077,0.0040201447,0.0040201447,7,0.0034978583497489186,0,0.1392879066912216,2269,0.39897566190642497
n57,n57,have,270,867.0,4.0,0.5099557522123894,0.02374827716572331,0.00598604,0.00598604,19,0.006197452840848241,0,0.10081233650006884,3661,0.5252089553609542
n58,n58,respect,32,74.0,4.0,0.43425018839487567,3.53192747516294E-4,7.289274E-4,7.289274E-4,15,5.647909578684356E-4,0,0.46774193548387094,232,0.11864339988935955
n59,n59,Seriously,29,66.0,4.0,0.42425915700349714,6.647558406184518E-5,6.626613E-4,6.626613E-4,4,4.914356521724134E-4,0,0.47783251231527096,194,0.1084110264392091
n60,n60,world,72,165.0,5.0,0.4385464231354642,0.0025316854320592825,0.0016124757,0.0016124757,3,0.001291006496744883,0,0.19953051643192488,510,0.16374025570644243
n61,n61,outstanding,43,101.0,4.0,0.4436104695919938,2.2960369645841968E-4,9.7190315E-4,9.7190315E-4,4,7.106794732815936E-4,0,0.4374307862679956,395,0.1638208146580688
n62,n62,Jesus,8,16.0,5.0,0.35609454657809364,0.0,1.9879837E-4,1.9879837E-4,4,1.749775719600166E-4,0,1.0,28,0.02331248437425399
n63,n63,Christ,13,31.0,4.0,0.3894896924636702,3.6665055576145454E-5,3.092419E-4,3.092419E-4,4,2.6616556103751295E-4,0,0.7051282051282052,55,0.0589556384791728
n64,n64,Whole,9,18.0,5.0,0.3586990351696234,3.312554957493803E-6,2.2088709E-4,2.2088709E-4,4,1.8974559691157828E-4,0,0.7777777777777778,28,0.02616025578092891
n65,n65,cinema,75,168.0,4.0,0.4590718980282812,0.003869862224910343,0.0016787418,0.0016787418,2,0.0013487773351596726,0,0.1945945945945946,540,0.17856024151044736
n66,n66,silence,18,36.0,5.0,0.3798615688859591,3.874926464400458E-5,4.1968544E-4,4.1968544E-4,4,3.090719195532914E-4,0,0.5816993464052288,89,0.05330855589582895
n67,n67,emotional,87,216.0,4.0,0.46773538961038963,0.0024668816839078173,0.0019438063,0.0019438063,4,0.0015991392047796623,0,0.24431970061480887,914,0.24502745339515633
n68,n68,awesome,124,296.0,4.0,0.48282362798491835,0.004654753273405143,0.0027610885,0.0027610885,4,0.0021472633753114685,0,0.2041699449252557,1557,0.3294419294697914
n69,n69,eat,9,24.0,4.0,0.3934790030727211,2.980884809261162E-5,2.2088709E-4,2.2088709E-4,7,2.5314343689411024E-4,0,0.6666666666666666,24,0.036160598948541754
n70,n70,weight,5,15.0,5.0,0.3765724554811305,0.0,1.3253225E-4,1.3253225E-4,7,1.8177545993086324E-4,0,1.0,10,0.016915728481930604
n71,n71,popcorn,17,42.0,4.0,0.40191804707933737,6.864813883254767E-5,3.9759674E-4,3.9759674E-4,7,3.906982293833091E-4,0,0.5735294117647058,78,0.053550682643677586
n72,n72,coke,13,33.0,4.0,0.38811247684795425,1.4708767478939583E-5,3.092419E-4,3.092419E-4,7,3.208481048143654E-4,0,0.7051282051282052,55,0.03430581217706628
n73,n73,date,63,186.0,4.0,0.4475728155339806,0.004610756601506911,0.0014136774,0.0014136774,4,0.0016065343977355463,0,0.1894521249359959,370,0.15530158184266976
n74,n74,unbelievably,15,30.0,5.0,0.379049498437757,2.1166400579481614E-5,3.5341934E-4,3.5341934E-4,4,2.69743489112526E-4,0,0.6476190476190476,68,0.046249162008176144
n75,n75,good,334,1015.0,4.0,0.5229128856624319,0.036980341155824846,0.0073997173,0.0073997173,4,0.0076279935619953144,0,0.0749312186437935,4167,0.57631579958456
n76,n76,get,140,346.0,4.0,0.48080934501460154,0.012075939868233593,0.0031145078,0.0031145078,3,0.002774150943997247,0,0.13257965056526208,1290,0.2941261380446173
n77,n77,there,70,159.0,5.0,0.4374644144999051,0.0027693307539356856,0.0015682983,0.0015682983,2,0.0012714884818417003,0,0.20952380952380953,506,0.15441956849009755
n78,n78,something,21,44.0,5.0,0.38200198873052704,1.1627603107443789E-4,4.8595158E-4,4.8595158E-4,7,3.9004449404209324E-4,0,0.3619047619047619,76,0.04575073544779476
n79,n79,Gripping,18,36.0,5.0,0.4005212858384014,3.88898685538832E-5,4.1968544E-4,4.1968544E-4,4,2.9957041565087546E-4,0,0.49673202614379086,76,0.06453805303862505
n80,n80,become,12,24.0,5.0,0.37081724581724584,1.6386042550276526E-5,2.871532E-4,2.871532E-4,19,2.3823178260543116E-4,0,0.6666666666666666,44,0.032772807305192435
n81,n81,Somalian,50,106.0,4.0,0.44610025159667116,0.0039829500670353355,0.0011265242,0.0011265242,2,9.370096154977875E-4,0,0.26693877551020406,327,0.13978708565348572
